TS,PID,TYPE,FLAG,PATTERN,OPEN,CREATE,DELETE,ENCRYPT,FILENAME
18425680286178,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425680320582,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425680349300,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425680377586,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425680408140,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425680438713,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425680477335,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425680506329,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425680515622,7654,0,0,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/WebSt
18425680535546,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425680563242,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425680591445,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425680619923,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425680650955,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425680687451,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425680715556,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425680743314,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425680771267,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425680798799,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425680826784,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425680856391,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425680884648,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425680912425,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425680940590,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
